TC ID,대상,케이스 ID,시나리오,스텝,기법,Given,When,Then,비고,상태
,,UI-43,도안 연결 - 도안 창고,"0. 도안 없는 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [도안 창고] 클릭 2. 창고 목록에서 연결할 도안 줄 탭 3. 도안이 화면에 표시되는지 확인 4. 창고 탭에서 원본 도안이 그대로 있는지 확인",시나리오,"창고에 도안 1개 존재, 도안 없는 프로젝트",창고 선택 경로로 연결,복사본이 프로젝트에 연결되고 창고 원본은 유지,DEF-13(창고 경로 서버 파일 키 부재) 이력 경로,PASS (8/23)
,,UI-44,도안 연결 - 수동 입력,"0. 도안 없는 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [수동 입력] 클릭 2. 도안 이름 입력 후 저장 3. 도안 이름이 표시되는지 확인 4. ""PDF 파일이 없어요.""와 ""수동 도안은 이름만 저장돼요."" 안내가 표시되는지 확인",시나리오,도안 없는 프로젝트,이름만 수동 입력으로 등록,파일 없이 이름만으로 도안 항목이 생성되고 파일 부재 안내가 표시됨,,PASS (8/23)
,,UI-45,도안 교체 - 드로잉 삭제 경고 (DEF-10 회귀),"0. 도안과 드로잉이 있는 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [PDF 교체] 클릭 2. 드로잉 삭제 경고 확인창 표시 확인 3. [취소] 클릭, 기존 도안과 드로잉 유지 확인 ([⋯] 메뉴에 [그리기 삭제] 항목 존재로 확인) 4. 다시 [PDF 교체], 경고 확인창 승인, 새 PDF 선택 5. ""도안 창고에 보관할까요?"" 확인창에서 [프로젝트에만 연결] 선택 6. 새 도안이 표시되는지 확인 7. [⋯] 메뉴에 [그리기 삭제] 항목이 없는지 확인 (드로잉 제거 확인)",상태 전이 회귀,도안 연결 + 드로잉 존재,"교체 시도 후 취소, 그다음 승인","경고 확인창 표시, 취소 시 도안과 드로잉 유지, 승인 시 교체되고 드로잉 제거",06 수정 완료 결함(8f1a4ad) 회귀. 실행은 그리기 작성(UI-47) 이후 (드로잉 Given 필요),PASS (8/23)
,,UI-46,도안 연결 해제,"0. 도안이 연결된 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [도안 연결 해제] 클릭 2. 연결 해제 확인창 표시 확인 3. [연결 해제] 클릭 4. 도안 영역이 ""도안이 비어 있어요."" 상태로 돌아가는지 확인 5. 창고 탭에서 원본 도안이 유지되는지 확인",상태 전이,창고 경로로 도안 연결된 프로젝트,도안 연결 해제,프로젝트에서만 해제되어 빈 상태로 복귀 창고 원본은 유지,드로잉이 있는 상태에서 해제 시 드로잉 처리 방식은 관찰 후 기록,PASS (8/23)
,,UI-47,도안 그리기 - 작성,"0. 도안 연결된 프로젝트의 작업 화면 진입 1. 도안 영역의 모드 토글로 그리기 모드 전환 2. 도안 위에 선 그리기 (별도 저장 버튼 없음, 그리는 즉시 자동 저장) 3. 그린 선이 도안 위에 표시되는지 확인 4. [⋯] 메뉴에 [그리기 삭제] 항목이 생겼는지 확인",시나리오,도안 연결된 프로젝트,그리기 모드에서 선 작성,그린 내용이 도안 위에 표시되고 드로잉 존재 신호([그리기 삭제] 항목)가 나타남,저장 버튼 없는 자동 저장 구조 (코드 확인),PASS (8/23)
,,UI-48,도안 그리기 - 재실행 후 유지,0. 드로잉이 있는 상태에서 앱 완전 종료 1. 재실행 후 해당 프로젝트 작업 화면 진입 2. 모드 토글로 그리기 모드 전환 3. 그린 내용이 그대로 표시되는지 확인 4. [⋯] 메뉴에 [그리기 삭제] 항목이 유지되는지 확인,상태 전이,드로잉 존재,"앱 완전 종료 후 재실행, 재진입",그린 내용과 드로잉 존재 신호가 유지,스텝 2는 DEF-18(보기 모드 드로잉 미표시) 때문에 필요. 수정 후에는 보기 모드에서도 확인 가능. 저장 버튼 없는 자동 저장이므로 이 케이스가 저장 실재의 증명,PASS (8/23)
,,UI-49,도안 뷰어 - 드로잉 표시 (DEF-18 회귀),"0. 드로잉이 있는 프로젝트의 작업 화면 진입, 그리기 모드에서 그림 확인 1. 모드 토글로 보기 모드 전환 2. 그린 내용이 그대로 표시되는지 확인 3. 보기 모드에서 도안 위를 문질러도 그려지지 않는지 확인 4. 그리기 모드로 복귀, 그린 내용 유지 확인",상태 전이 회귀,드로잉 존재,보기 모드로 전환,"그린 내용은 표시되되 편집은 불가, 그리기 모드 복귀 시 그대로","현재 DEF-18로 FAIL (스텝 2에서 미표시), 1차 수정 후 회귀로 재판정. 판정 근거는 02 PAT 신규 SPEC (오너 확정)","FAIL (8/23, DEF-18)"
,,UI-50,도안 그리기 - 삭제 (취소 분기 포함),"0. 드로잉이 있는 프로젝트의 작업 화면 진입 1. 도안 영역 [⋯] 메뉴, [그리기 삭제] 클릭 2. ""그리기를 지울까요?"" 확인창 표시 확인 3. [취소] 클릭, 그린 내용이 그대로 있는지 확인 4. 다시 [그리기 삭제] 클릭, 확인창에서 [삭제] 클릭 5. 그린 내용이 제거되고 도안은 그대로인지 확인 6. [⋯] 메뉴에 [그리기 삭제] 항목이 사라졌는지 확인",상태 전이,드로잉 존재,"삭제 시도 후 취소, 그다음 승인","취소 시 드로잉 유지, 승인 시 드로잉만 제거되고 도안 유지",삭제 확인창 실재 (8/23 확인),PASS (8/23)
,,UI-51,도안 뷰어 - 페이지 이동과 복귀 유지 (DEF-19 회귀),"0. 여러 페이지 PDF(sample4, 8페이지)가 연결된 프로젝트의 작업 화면 진입 1. 보기 모드에서 3페이지로 이동 2. [홈] 탭 다녀온 뒤 작업 화면 복귀, 보던 페이지 유지 확인 3. 다시 3페이지로 이동, [⋯] 메뉴의 [사전/스킬 찾기]로 이탈 후 복귀, 페이지 유지 확인 4. 앱 완전 종료 후 재실행, 재진입 시 페이지 관찰 (약속 범위 밖, 기록만)",상태 전이 회귀,여러 페이지 도안 연결,"페이지 이동 후 탭 이동, 검색 이탈, 재실행으로 각각 복귀",탭 복귀와 검색 이탈 복귀 모두 보던 페이지 유지 (재실행은 관찰),"스텝 2는 DEF-19로 FAIL 실측(8/23), 1차 수정 후 회귀. 스텝 3은 PAT-05 기존 약속 확인, PASS 실측(8/23). 스텝 4는 재실행 시 1페이지 초기화 관찰(8/23), 약속 범위 밖. 판정 근거는 PAT-05 개정판(탭 이동 포함, 오너 결정 8/23)","스텝 2 FAIL, 스텝 3 PASS (8/23)"
,,UI-52,단수 카운터 - 간편 모드,"0. 작업 화면 진입, 카운터 모드를 간편으로 선택 1. [다음 단] 3회 클릭 2. ""현재 3단"" 표시 확인 3. [이전 단] 1회 클릭, ""현재 2단"" 표시 확인",시나리오,"카운터 ""시작 전""",간편 모드에서 증감 조작,값이 조작 횟수와 정확히 일치,증가 정확성은 counter_increment_test.py로 자동화 완료 (8/22 PASS 33.0초),자동화 완료
,,UI-53,단수 카운터 - 행안내 모드,0. 행안내가 1개 이상 등록된 프로젝트의 작업 화면 진입 1. 카운터 모드를 행안내로 선택 2. [다음 행] 클릭 3. 단수가 증가하며 현재 행안내 내용이 함께 진행되는지 확인,시나리오,행안내 등록된 프로젝트,행안내 모드에서 진행,단수와 행 안내가 함께 진행,,실행 대기
,,UI-54,단수 카운터 - 하한 경계 (DEF-15 회귀),"0. 작업 화면 진입, 카운터 ""시작 전"" 확인 1. [이전 단] 클릭 2. 값이 증가하지 않고 ""시작 전"" 그대로인지 확인",경계값 회귀,카운터 0(시작 전),감소 조작,"증가나 음수 없이 ""시작 전"" 유지","DEF-15 회귀. XCUITest(37.3초)와 Appium(32.6초) 양쪽 구현 완료, CI 게이트 포함",자동화 완료
,,UI-55,단수 카운터 - 직접 입력 경계값,"0. 작업 화면 진입, 카운터의 [현재 단수] 클릭 1. 10000 입력, ""현재 10000단"" 표시 확인 2. 0 입력, ""시작 전"" 표시 확인 3. 음수 입력, 0으로 보정되어 ""시작 전"" 표시되는지 확인",경계값,카운터 존재,"0, 음수, 큰 값을 직접 입력","0과 10000은 반영, 음수는 0 보정","음수 무통보 보정은 06 관찰 이력, 상한 무제한은 psql 10000 실측",실행 대기
,,UI-56,정보 탭 - 프로젝트 요약 표시,"0. 단수 진행과 목표일이 있는 프로젝트의 작업 화면 진입 1. 프로젝트 정보 탭 클릭 2. 진행, 일정, 시작일, 총 작업시간이 실제 값과 일치하는지 확인",시나리오,진행값 있는 프로젝트,정보 탭 확인,요약 4항목이 실제 값과 일치,,실행 대기
,,UI-57,정보 탭 - 진행 사진 기록,0. 정보 탭의 진행 사진 [+] 클릭 1. 사진 선택 2. 사진이 목록에 표시되는지 확인 3. 앱 재실행 후 유지 확인,시나리오,프로젝트 존재,진행 사진 추가,표시되고 재실행 후 유지,"시스템 피커, 시뮬레이터 사진 주입으로 자동화 가능",실행 대기
,,UI-58,정보 탭 - 실 사용량 표시,0. 실이 연결된 프로젝트의 정보 탭 진입 1. 실 사용량 영역에 연결된 실 이름이 표시되는지 확인,시나리오,실 연결된 프로젝트,정보 탭 확인,연결된 실 이름 표시,"등록과 수정은 창고 TC에서 검증, 표시 확인만",실행 대기
,,UI-59,정보 탭 - 사용 바늘 표시,0. 바늘이 연결된 프로젝트의 정보 탭 진입 1. 사용 바늘 영역에 연결된 바늘 이름이 표시되는지 확인,시나리오,바늘 연결된 프로젝트,정보 탭 확인,연결된 바늘 이름 표시,"UI-58과 동일 구조, 표시 확인만",실행 대기
,,UI-60,정보 탭 - 사용 도구 표시,0. 도구가 연결된 프로젝트의 정보 탭 진입 1. 사용 도구 영역에 연결된 도구 이름이 표시되는지 확인,시나리오,도구 연결된 프로젝트,정보 탭 확인,연결된 도구 이름 표시,"UI-58과 동일 구조, 표시 확인만",실행 대기
,,UI-61,정보 탭 - 게이지 기록 연결과 해제,"0. 도구 탭 게이지 계산기에서 기록 1개 저장 (Given 준비) 1. 프로젝트 정보 탭의 게이지 영역에서 [연결] 클릭, 기록 선택 2. ""1개 연결됨"" 표시 확인 3. 연결 해제 클릭, 확인창 승인 4. 프로젝트에서는 사라지고 게이지 계산기의 원본 기록은 유지되는지 확인",상태 전이,게이지 계산기 기록 존재,프로젝트에 연결 후 해제,"연결 시 표시, 해제 시 연결만 끊기고 원본 유지","코드 확인 결과 작성이 아니라 연결 구조 (""기록은 삭제되지 않고 연결만 해제"" 안내 실재)",실행 대기
,,UI-62,정보 탭 - 작업 메모 기록,0. 정보 탭의 작업 메모 영역에 내용 입력 1. [저장] 클릭 2. 메모가 표시되는지 확인 3. 앱 재실행 후 유지 확인,시나리오,프로젝트 존재,메모 작성 저장,표시되고 재실행 후 유지,,실행 대기
,,UI-63,정보 탭 - 관련 스킬 표시,"0. 스킬 태그가 있는 프로젝트의 정보 탭 진입 1. 관련 스킬 태그가 표시되는지 확인 2. 태그 클릭, 해당 스킬 화면으로 이동하는지 확인",시나리오,스킬 연결된 프로젝트,태그 확인과 클릭,"태그 표시, 클릭 시 스킬로 이동",스킬 연결 방법은 관찰 후 Given 보강,실행 대기
TC11,재방문 보존,UI-64,재방문 - 앱 종료 후 작업 상태 보존,"0. 프로젝트에 카운터 3단 진행, 실 연결, 도안 연결 상태 준비 (Given) 1. 앱 완전 종료 2. 재실행, [내 뜨개] 목록에서 해당 프로젝트 진입 3. 카운터가 ""현재 3단""으로 유지되는지 확인 4. 도안 연결이 유지되고 열람 가능한지 확인 5. 정보 탭에서 실 연결 표시가 유지되는지 확인","상태 전이, 시나리오",카운터 진행과 연결이 있는 프로젝트 존재,앱 완전 종료 후 재실행하여 재진입,"카운터 값, 도안, 재료 연결이 모두 종료 전 상태로 유지","CUJ-2 계열 P1. 홈의 이어서 뜨기 경로는 DEF-17로 미동작이라 목록 경로로 검증, DEF-17 수정 후 홈 경로 스텝 추가",실행 대기
TC12,실 바늘 도구 등록,UI-65,실 등록 - 폼 검증 포함,"0. [창고] 탭 클릭, 실 목록 진입 1. [+] 버튼으로 등록 폼 열기 2. 아무것도 입력하지 않은 상태에서 저장 버튼 비활성화 확인 3. 필수값 입력 (필수 항목은 관찰 후 기입) 4. 저장, 목록에 등록된 실 표시 확인 5. 앱 완전 종료 후 재실행, 유지 확인","시나리오, 에러 기대",온보딩 완료,창고에서 실을 미입력 검증 거쳐 등록,"미입력 시 저장 비활성, 등록 후 목록 표시와 재실행 유지",폼 필수값과 버튼 문구는 관찰 후 보강,실행 대기
,,UI-66,바늘 등록 - 폼 검증 포함,"0. [창고] 탭 클릭, 바늘 목록 진입 1. UI-65와 같은 흐름 (폼 열기, 미입력 비활성, 입력, 저장, 재실행 유지)","시나리오, 에러 기대",온보딩 완료,창고에서 바늘 등록,"미입력 시 저장 비활성, 등록 후 목록 표시와 재실행 유지",UI-65와 동일 구조. 바늘 사이즈 픽커 방식은 관찰 후 스텝 보강,실행 대기
,,UI-67,도구 등록 - 폼 검증 포함,"0. [창고] 탭 클릭, 도구 목록 진입 1. UI-65와 같은 흐름 (폼 열기, 미입력 비활성, 입력, 저장, 재실행 유지)","시나리오, 에러 기대",온보딩 완료,창고에서 도구 등록,"미입력 시 저장 비활성, 등록 후 목록 표시와 재실행 유지",UI-65와 동일 구조,실행 대기
,,UI-68,실과 바늘 - 프로젝트 연결과 해제,"0. 창고에 실 1개, 바늘 1개 존재 (Given) 1. 프로젝트 수정 폼 진입, 재료에서 실과 바늘 연결 2. [변경사항 저장], 정보 탭에서 실과 바늘 표시 확인 3. 수정 폼 재진입, 실과 바늘 연결 해제 4. 저장 후 정보 탭에서 표시가 사라졌는지 확인 5. 창고 원본은 그대로 유지되는지 확인",상태 전이,"창고에 실과 바늘 각 1개, 프로젝트 1개 존재",수정 폼에서 연결했다가 해제,"연결 시 정보 탭 표시, 해제 시 표시 제거, 창고 원본 불변",재료 연결 입구는 수정 폼,실행 대기
,,UI-69,도구 - 프로젝트 연결과 해제,"0. 창고에 도구 1개 존재 (Given) 1. 작업 화면의 도구 영역에서 연결 (입구는 관찰 후 기입) 2. 정보 탭에서 도구 표시 확인 3. 연결 해제, 표시가 사라졌는지 확인 4. 창고 원본 유지 확인",상태 전이,"창고에 도구 1개, 프로젝트 1개 존재",작업 화면에서 도구 연결 후 해제,"연결 시 표시, 해제 시 제거, 창고 원본 불변",도구는 N:M 연결 (schema 실측). 연결 입구가 재료와 다른 점은 06 관찰 이력 (연결 입구 비일관),실행 대기
TC13,등록 항목 수정,UI-70,실 수정 - 창고 반영과 스냅샷 비전파,"0. 프로젝트에 연결된 실이 있는 상태 (Given) 1. [창고] 탭에서 해당 실의 수정 폼 진입 2. 이름을 다른 값으로 변경, 저장 3. 창고 목록에 변경된 이름 표시 확인 4. 연결된 프로젝트의 정보 탭에서 스냅샷 이름이 변경 전 값으로 유지되는지 확인",상태 전이,연결된 실 존재,창고에서 원본 실 이름 수정,"창고 목록은 갱신, 프로젝트 쪽 스냅샷은 불변","LINK-05 (스냅샷 불변, 06 실측 PASS 이력)의 회귀 확인",실행 대기
,,UI-71,바늘 수정 - 창고 반영과 스냅샷 비전파,0. UI-70과 같은 흐름 (대상만 바늘),상태 전이,연결된 바늘 존재,창고에서 원본 바늘 수정,"창고 목록은 갱신, 프로젝트 쪽 스냅샷은 불변",UI-70과 동일 구조,실행 대기
,,UI-72,도구 수정 - 창고 반영,"0. 프로젝트에 연결된 도구가 있는 상태 (Given) 1. [창고] 탭에서 해당 도구 수정, 저장 2. 창고 목록 반영 확인 3. 연결된 프로젝트의 표시 확인 (스냅샷인지 참조인지 관찰)",상태 전이,연결된 도구 존재,창고에서 원본 도구 수정,창고 목록 갱신,도구는 링크 구조 (N:M)라 프로젝트 표시가 스냅샷인지 참조인지 관찰 후 Then 확정,실행 대기
TC14,등록 항목 삭제,UI-73,실 삭제 - 미연결,"0. 어떤 프로젝트에도 연결되지 않은 실 존재 (Given) 1. [창고] 탭에서 해당 실 삭제 (확인창 문구는 관찰 후 기입) 2. 목록에서 사라졌는지 확인 3. 앱 완전 종료 후 재실행, 돌아오지 않는지 확인",상태 전이,미연결 실 1개 존재,창고에서 삭제,"목록에서 제거, 재실행 후에도 미복귀",삭제 확인창 유무는 관찰 후 기록,실행 대기
,,UI-74,실 삭제 - 연결된 실 (스냅샷 보존),0. 프로젝트에 연결된 실이 있는 상태 (Given) 1. [창고] 탭에서 해당 실 삭제 2. 삭제 시 경고나 안내가 있는지 관찰 3. 창고 목록에서 제거 확인 4. 연결됐던 프로젝트의 정보 탭에서 스냅샷 이름이 계속 표시되는지 확인,상태 전이,연결된 실 존재,창고에서 원본 삭제,창고에서는 제거되고 프로젝트 쪽 스냅샷 표시는 유지,"LINK-05 스냅샷 보존 연계, 로드맵 P2 근거",실행 대기
,,UI-75,바늘과 도구 삭제 - 연결 상태,"0. UI-74와 같은 흐름 (대상: 바늘, 도구 각각)",상태 전이,연결된 바늘과 도구 존재,창고에서 원본 삭제,"창고 제거 후 프로젝트 쪽 표시 동작 확인 (바늘은 스냅샷 유지, 도구는 관찰 후 확정)","바늘은 FK 제약조건 부재 참조 + 스냅샷 (schema 실측), 도구는 링크 구조라 동작이 다를 수 있음",실행 대기
,,UI-76,창고 도안 삭제 - 프로젝트 복사본 영향,"0. 창고 도안이 프로젝트에 연결된 상태 (Given, UI-43 경로로 준비) 1. [창고] 탭 도안 목록에서 해당 도안 삭제 2. 창고 목록에서 제거 확인 3. 연결됐던 프로젝트의 작업 화면에서 도안 복사본이 계속 열람되는지 확인",상태 전이,창고 경로로 연결된 도안 존재,창고 원본 삭제,"창고에서는 제거, 프로젝트 복사본은 유지되어 열람 가능",ProjectPatternCopy 복사본 구조 (schema 실측). 복사본 유지가 깨지면 도안 열람 불가 (치명도 5위) 계열,실행 대기
TC15,로그아웃,UI-77,로그아웃 - 게이트 표시와 데이터 비노출,"0. 테스트 계정으로 로그인 상태에서 시작 (서버 연결) 1. [설정] 탭, [계정 연동] 메뉴 진입 2. [로그아웃] 클릭 (확인창이 뜨면 문구 확인 후 승인) 3. 로그아웃 직후 화면 상태 확인 (로그인 유도 게이트 표시) 4. 홈과 내 뜨개에서 이전 계정의 서버 데이터가 보이지 않는지 확인 5. 앱 완전 종료 후 재실행, 로그아웃 상태와 게이트가 유지되는지 확인",상태 전이,"가입된 테스트 계정으로 로그인 상태, 서버 연결",로그아웃 수행,로그인 유도 게이트가 표시되고 이전 계정 데이터가 노출되지 않으며 재실행 후에도 유지,"AUTH-06 게이트(4d76203 구현) 검증. DEF-05, DEF-06(계정 간 노출) 계열. 확인창 유무와 게이트 화면 구성은 관찰 후 스텝 보강",실행 대기
TC16,오프라인 생성 후 복구 동기화,UI-78,오프라인 생성 - 복구 후 동기화 (개요),"0. 네트워크 차단 상태에서 프로젝트 생성, Local Only 표시 확인 1. 네트워크 복구 후 조회 시점에 업로드되는지 확인 2. 동일 ID로 Synced 전환 확인","상태 전이, 시나리오",서버 연결 가능 환경에서 네트워크 차단,오프라인 생성 후 복구,Local Only에서 동일 ID로 Synced 전환,06 TC-SYNC01-01 실측 PASS 흐름 재사용. 네트워크 제어 필요로 수동 트랙 유지 (로드맵 근거),수동 트랙
